RegionID,SizeRank,ZipCode,State,City,Metro,CountyName,Price
91982,1,77494,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,366720.5091
61148,2,8701,NJ,Lakewood,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,284877.925
91940,3,77449,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Harris County,198611.0957
62080,4,11368,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,439182.4578
91733,5,77084,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,183035.6445
93144,6,79936,TX,El Paso,"El Paso, TX",El Paso County,160647.1223
62093,7,11385,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,703065.6842
92593,8,78660,TX,Pflugerville,"Austin-Round Rock-Georgetown, TX",Travis County,281452.5061
62019,9,11208,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,634548.0278
95992,10,90011,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,545212.2919
91926,11,77433,TX,Cypress,"Houston-The Woodlands-Sugar Land, TX",Harris County,295282.6972
84630,12,60629,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,220090.5205
96193,13,90650,CA,Norwalk,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,652640.2344
96361,14,91331,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,630703.2387
74101,15,37013,TN,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County,266644.1362
62046,16,11236,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,554429.2763
61807,17,10467,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,282932.3343
62085,18,11373,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,540699.8966
62037,19,11226,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,730740.1176
62018,20,11207,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,514934.4764
70829,21,30044,GA,Lawrenceville,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,279012.4237
96025,22,90044,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,579802.4415
96817,23,92336,CA,Fontana,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,486406.6188
