RegionID,SizeRank,ZipCode,State,City,Metro,CountyName,Price
91982,1,77494,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,2004.028168
91940,3,77449,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Harris County,1901.639354
62080,4,11368,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2627.583333
91733,5,77084,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,1899.321711
93144,6,79936,TX,El Paso,"El Paso, TX",El Paso County,1497.875458
62093,7,11385,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,3037.951683
92593,8,78660,TX,Pflugerville,"Austin-Round Rock-Georgetown, TX",Travis County,1806.123316
62019,9,11208,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,2966.5
91926,11,77433,TX,Cypress,"Houston-The Woodlands-Sugar Land, TX",Harris County,1896.266549
84630,12,60629,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1348.75
96193,13,90650,CA,Norwalk,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2695.416667
96361,14,91331,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,3300
74101,15,37013,TN,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County,1703.782151
62046,16,11236,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,2998.333333
61807,17,10467,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,2252.288889
62085,18,11373,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2514.722222
62037,19,11226,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,2758.041313
62018,20,11207,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,3085.887081
70829,21,30044,GA,Lawrenceville,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,1924.865766
96025,22,90044,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2452
96817,23,92336,CA,Fontana,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,3349.194444
97771,24,94565,CA,Pittsburg,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,2500.477722
92036,25,77573,TX,League City,"Houston-The Woodlands-Sugar Land, TX",Galveston County,1986.877778
96816,26,92335,CA,Fontana,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,2269.111111
96083,27,90201,CA,Bell,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2419.916667
96107,28,90250,CA,Hawthorne,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2024.674561
61639,29,10025,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,4035.48408
90654,30,75052,TX,Grand Prairie,"Dallas-Fort Worth-Arlington, TX",Dallas County,1696.753369
96239,31,90805,CA,Long Beach,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2211.596866
62025,32,11214,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,2402.738095
84620,33,60618,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1920.092346
97223,34,93307,CA,Bakersfield,"Bakersfield, CA",Kern County,1620.833333
96125,35,90280,CA,South Gate,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2214.555556
62044,36,11234,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,2603
96368,37,91342,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2809.861111
96990,38,92683,CA,Westminster,"Los Angeles-Long Beach-Anaheim, CA",Orange County,2761.956349
61790,39,10314,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Richmond County,2282.539683
62031,40,11220,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,2629.200758
84639,41,60639,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1562.953297
92341,42,78245,TX,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,1525.348659
62030,43,11219,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,2434.611111
96882,44,92503,CA,Riverside,"Riverside-San Bernardino-Ontario, CA",Riverside County,2508.816305
92481,46,78521,TX,Brownsville,"Brownsville-Harlingen, TX",Cameron County,1212.111111
62017,47,11206,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,3631.552029
62032,48,11221,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,3247.124074
61796,49,10456,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,2570.833333
96825,50,92345,CA,Hesperia,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,2106.388889
